,DOE,Fit_Try3
1097,doe3891,-1.1
1098,doe3893,-1.4
1099,doe3895,-0.9
1100,doe3897,-1.4
1101,doe3899,-1.2
1102,doe3901,-1.4
1103,doe3903,-1.0
1104,doe3937,-1.7
1105,doe3939,-1.6
1106,doe3941,-1.7
1107,doe3943,-1.6
1108,doe3945,-1.6
1109,doe3947,-1.6
1110,doe3949,-1.6
1111,doe3951,-1.6
1112,doe3953,-1.3
1113,doe3955,-0.9
1114,doe3957,-1.4
1115,doe3959,-1.0
1116,doe3961,-1.5
1117,doe3963,-1.3
1118,doe3965,-1.6
1119,doe3967,-1.3
1120,doe4001,-0.5
1121,doe4003,-0.3
1122,doe4005,-0.7
1123,doe4007,-0.5
1124,doe4009,-0.7
1125,doe4011,-1.4
1126,doe4013,-1.3
1127,doe4015,-1.6
1128,doe4017,-0.9
1129,doe4019,-1.2
1130,doe4021,-1.0
1131,doe4023,-1.2
1132,doe4025,-2.2
1133,doe4027,-2.2
1134,doe4029,-2.5
1135,doe4031,-2.5
1136,doe4065,-0.7
1137,doe4067,-0.5
1138,doe4069,-0.7
1139,doe4071,-0.5
1140,doe4073,-1.3
1141,doe4075,-1.7
1142,doe4077,-1.3
1143,doe4079,-1.7
1144,doe4081,-1.0
1145,doe4083,-1.2
1146,doe4085,-1.1
1147,doe4087,-1.3
1148,doe4089,-2.3
1149,doe4091,-2.3
1150,doe4093,-2.3
1151,doe4095,-2.3
1152,doe4097,-0.2
